Ime objekta,Podrijetlo imena
SK-15,smišljeno novo
Mala Zečica,preuzeto kao lokalni naziv
Golubinka na Vlaki,preuzeto iz literature
Špilja kod Žive vode,smišljeno prema toponimu
Škurinjska jama,smišljeno prema toponimu
Golubinka kod Marčane,preuzeto kao lokalni naziv
Cingulica pod Židovinom,preuzeto kao lokalni naziv
Gabrića pećina,preuzeto sa karte
Kolarska gora II,preuzeto kao lokalni naziv
Zecova jama,preuzeto kao lokalni naziv
Jama u Špejarovim Lugovima 5,smišljeno prema toponimu
Pećina u željezničkoj stanici Gornje Dubrave,smišljeno prema toponimu
Janijeva draga,smišljeno novo
Trešnjica,smišljeno novo
Jama na Šupljaku,nepoznato podrijetlo
Jama kod žute točke,smišljeno novo
Jama na braku od Lonče,smišljeno prema toponimu
Jama u Japagama 2,smišljeno prema toponimu
Špilja Minaret,smišljeno novo
"Vilenjača Vepric ""Mirka""",smišljeno novo
Uzengija,smišljeno novo
Advent 2,smišljeno novo
Špilja pod Nećvenom,preuzeto iz literature
DG5,smišljeno novo
Cokeljine livade,smišljeno prema toponimu
Kaverna Škurinje 1,smišljeno prema toponimu
Malina,smišljeno novo
Jama povuci - potegni,smišljeno novo
Ponor Štirovača,smišljeno prema toponimu
Jama Milimetar,smišljeno novo
Pećina Bunker,preuzeto kao lokalni naziv
Atrium jama,smišljeno novo
Stipina skrika,smišljeno novo
Simina pećina,preuzeto kao lokalni naziv
Kaka,smišljeno novo
Smrčevičica,smišljeno prema toponimu
Dukina pećina,preuzeto kao lokalni naziv
Šprajcerka,smišljeno prema toponimu
Guidova bezdanka,preuzeto kao lokalni naziv
Mala golubinka,preuzeto kao lokalni naziv
Ledenica pod Jabukovcem,preuzeto kao lokalni naziv
Međ' Japaginama jamica,smišljeno novo
Dubićeva znetva,preuzeto kao lokalni naziv
Rastovača,preuzeto kao lokalni naziv
Pirotehnička,smišljeno novo
Vlaška plisuja,smišljeno novo
Keranova jama,preuzeto kao lokalni naziv
Damirovo razočaranje,smišljeno novo
Jama kod Medovače,preuzeto kao lokalni naziv
Špilja kod Podilljske,smišljeno novo
Kolarska gora I,preuzeto kao lokalni naziv
Pećina FAT 32,smišljeno novo
Jama u jamama,smišljeno novo
Valentina,smišljeno novo
Bićino odmaralište,smišljeno novo
Markova špilja,preuzeto kao lokalni naziv
Lucina špajza,smišljeno novo
Jama kod Kamenog luka,smišljeno novo
Špilja u Klanačkom polju,smišljeno prema toponimu
Jama kod Marine ograde,preuzeto kao lokalni naziv
Poreduša 5,smišljeno novo
Jama na vrhu Golubića,smišljeno prema toponimu
Smetlište kraj Pećine,smišljeno novo
Pećina pod Veliki vrh,smišljeno prema toponimu
Borušnjak 5,smišljeno prema toponimu
Špilja iznad Zečevog ponora,smišljeno prema toponimu
Jama 091,smišljeno novo
"Majina ""Šu"" jama",smišljeno novo
Jama Adersajd,smišljeno novo
Raskopana špilja,smišljeno novo
Jazavica na Liveru,preuzeto kao lokalni naziv
Ponor,preuzeto kao lokalni naziv
Mladenova buža,preuzeto kao lokalni naziv
Pod Šemičem,preuzeto kao lokalni naziv
Novogodišnja jama,smišljeno novo
Jama uz stazu na Sv. Nikoli,preuzeto kao lokalni naziv
Rušića jama,preuzeto kao lokalni naziv
Šulina jama,smišljeno novo
Dana,preuzeto kao lokalni naziv
Špilja od Punta,smišljeno prema toponimu
Jama u Turinjevcu,smišljeno prema toponimu
Špilja u gredi nad Sarančom,smišljeno prema toponimu
Špilja na zapadnoj punti Periševe uvale,smišljeno prema toponimu
Golubinka kod Handrake,smišljeno prema toponimu
Pećina iznad Vrela,smišljeno prema toponimu
Dvije banane,smišljeno novo
Ljiljkovača jama,preuzeto kao lokalni naziv
Lajbek jama,smišljeno novo
Šamarante,smišljeno novo
Debela griža II,smišljeno prema toponimu
Mala od logora,smišljeno novo
Jama pod stražom,smišljeno novo
Vukovića jama,preuzeto iz literature
Bićinska pećina,smišljeno prema toponimu
Šajdukova jama,preuzeto kao lokalni naziv
Uskić,smišljeno novo
Golubija spila,preuzeto kao lokalni naziv
Špilja kod Lukovog Šugarja,smišljeno prema toponimu
Golubinka u Stankovcima,preuzeto kao lokalni naziv
Špilja na Orsuli,smišljeno prema toponimu
Golubinjka kod Donjih Ležajića,smišljeno prema toponimu
Vila Jezerkinja,preuzeto iz literature
Ledenica pod Pećinskim vrhom,smišljeno prema toponimu
Dželalijina špilja na Mejašu,preuzeto iz literature
Jukebox,smišljeno novo
Sponzoruša,smišljeno novo
Pećina Židna hižica 4,preuzeto kao lokalni naziv
Pod balkonom 2,smišljeno prema toponimu
Neisplativa,smišljeno novo
Dabar špilja,preuzeto kao lokalni naziv
Jutarnja špilja,smišljeno novo
Vrtložna jama,smišljeno novo
Bermudski trokut,smišljeno novo
Sustav Zračak nade 2 - Kaverna u tunelu Učka,smišljeno novo
Jama kod stancije Matuli,preuzeto kao lokalni naziv
Corona free cave,smišljeno novo
Velika špilja,preuzeto kao lokalni naziv
Mini golf - Strguljin grad 2,smišljeno prema toponimu
Špilja s dva ulaza,smišljeno novo
Jama na Žutim kokom,smišljeno prema toponimu
Tabinja pod morem,smišljeno novo
Za nalož spilja,smišljeno novo
9 volta,smišljeno novo
Jama Sivi miš,smišljeno novo
Ovčica,smišljeno novo
Jama na Kamenoj,smišljeno prema toponimu
Jama na Melnici,smišljeno prema toponimu
Pecka špilja,smišljeno novo
Špilja u Zubu Buljme,smišljeno prema toponimu
Spilja kod Kordića Žumberačkih,smišljeno prema toponimu
Golubinka na Plitvinama 1,nepoznato podrijetlo
Špilja Vranetić,preuzeto kao lokalni naziv
Martina jama,nepoznato podrijetlo
Plitvinjača,preuzeto kao lokalni naziv
Mratovska jama,preuzeto iz literature
Duncanova jama,smišljeno novo
Jama u Trbojevićima,preuzeto kao lokalni naziv
Jama ispod heliodroma,smišljeno novo
Čađina golubinka,preuzeto kao lokalni naziv
Kopriva,smišljeno novo
Jama pod Humcem,smišljeno prema toponimu
Zakičnica IX,smišljeno prema toponimu
Suvaja,preuzeto kao lokalni naziv
Špilja iza drače u krivini,smišljeno novo
Jama pod suhim drvetom,smišljeno novo
Puškarić 2,smišljeno prema toponimu
Bombadil,smišljeno novo
Medina pećina,preuzeto kao lokalni naziv
Vučak,preuzeto kao lokalni naziv
Jama jednog Samozlonca,smišljeno novo
Sušak 104,nepoznato podrijetlo
Skolov mauzolej,smišljeno novo
Vodena majka H2O,preuzeto kao lokalni naziv
Gojak mala,nepoznato podrijetlo
Isplativa,smišljeno novo
Trapula,smišljeno novo
Jama pod Veliki Debeljak,smišljeno prema toponimu
Verka kaluđerka,smišljeno prema toponimu
Mala jama na Tornju,preuzeto kao lokalni naziv
Laniška jama,smišljeno prema toponimu
Lijeva jama kod Poljanka,smišljeno novo
Razrušeni interijer,smišljeno novo
Špilja u kvartarnoj breči,smišljeno novo
Baldina jama,preuzeto kao lokalni naziv
Špilja na Oštroj glavici,smišljeno prema toponimu
Japa špilja,smišljeno novo
Jama Klizulja,smišljeno novo
Jama u Držetinoj vali,preuzeto kao lokalni naziv
Puhalica kod dalekovoda,smišljeno novo
Burinka,nepoznato podrijetlo
Špilja Zero,smišljeno novo
Jankuša,smišljeno prema toponimu
Matića špilja,smišljeno prema toponimu
Jatara,preuzeto kao lokalni naziv
Tuncova pećina,preuzeto kao lokalni naziv
Novačka pećina,preuzeto kao lokalni naziv
Beži jama,smišljeno novo
Ne mora na ka,smišljeno novo
Tri prozora,smišljeno novo
Žilavka,smišljeno novo
Špilja na Dušicama,smišljeno prema toponimu
Špilja ispod Vukovića poda,preuzeto iz literature
Beba Emil,smišljeno novo
Čačkalicičnjak,smišljeno novo
Istinite laži,smišljeno novo
Jama južno od Baljaka,preuzeto iz literature
DG3,smišljeno novo
Kontjakt,smišljeno novo
Jama na Starom brigu,smišljeno prema toponimu
Pećinica Jamurina,smišljeno novo
JPG1,smišljeno novo
Lepa jama,smišljeno novo
Banananas,smišljeno novo
Jama Let 2,smišljeno novo
Jama nad Kupom,preuzeto kao lokalni naziv
Jama bez smeća na Šverdi,smišljeno novo
Snjeguljica,smišljeno novo
Jama na Mačkovcu 2,smišljeno prema toponimu
Plošnica,preuzeto kao lokalni naziv
Oprosti svijete,smišljeno novo
Šijeva jama,preuzeto kao lokalni naziv
Abri Samogred,smišljeno novo
Jama na Prevlaci,smišljeno prema toponimu
Nuda,smišljeno novo
Jama u Šištri,preuzeto kao lokalni naziv
Špilja Modrič,smišljeno prema toponimu
Jednodnevna jama,smišljeno novo
Signal špilja,smišljeno novo
Kmečalovica,smišljeno prema toponimu
Vularna,preuzeto kao lokalni naziv
Klinovac,smišljeno prema toponimu
Križna jama pod Turutnjakom,smišljeno prema toponimu
Jama na Bristovcu,smišljeno prema toponimu
Nekrštena spilja,smišljeno novo
MAK jama,smišljeno novo
Ponor Šterna,smišljeno prema toponimu
Tekući hodnik,smišljeno novo
Jama pored Jame bez smeća,smišljeno novo
Jama kod Raklja,smišljeno prema toponimu
Karabitkin Let,smišljeno novo
Špilja iznad kuće Janka Mišića,preuzeto kao lokalni naziv
Golubnjača ispod Crnog vrha,smišljeno prema toponimu
Sakata špilja,smišljeno novo
Kusac,smišljeno prema toponimu
Tri točkice II,smišljeno novo
Jama za Supinom,smišljeno prema toponimu
Jamica u Praprotnoj dragi,smišljeno prema toponimu
Golubnjača,preuzeto kao lokalni naziv
Ljubica,smišljeno novo
Rogovac,preuzeto kao lokalni naziv
Jama „više izgleda nego je“,smišljeno novo
Pećina u Raslini,preuzeto kao lokalni naziv
Jama na vrh Vrguda,smišljeno prema toponimu
Gornjopokojčica,smišljeno prema toponimu
Spilja od Lastve,preuzeto kao lokalni naziv
Jama poviše Ankinog pijata,smišljeno novo
Josino oko,smišljeno novo
Srbani,preuzeto kao lokalni naziv
Zdenčajka III,preuzeto kao lokalni naziv
Jama na Široko,smišljeno prema toponimu
Izvor u Riblju,preuzeto kao lokalni naziv
Skavnice,smišljeno prema toponimu
Škarin Samograd,preuzeto kao lokalni naziv
Modrušanska jama,smišljeno prema toponimu
Jama iza ćoška,smišljeno novo
Ciginovac 1,smišljeno prema toponimu
Ponor Bazuje,preuzeto kao lokalni naziv
Aščinka,smišljeno prema toponimu
Tomaševička,preuzeto kao lokalni naziv
Gržina špilja,preuzeto kao lokalni naziv
Jama za Q,smišljeno novo
Trbušnjak,preuzeto kao lokalni naziv
Jama za Petrinov brig,smišljeno prema toponimu
Flak 88,smišljeno novo
Humusnjača,smišljeno novo
Spilja u Lukama,smišljeno prema toponimu
Mini golf - Strguljin grad 3,smišljeno prema toponimu
Vranjačka spilja,smišljeno prema toponimu
Miljacka 7,smišljeno prema toponimu
Izvor špilja Osojnik,smišljeno prema toponimu
Kikiriki promašaj,smišljeno novo
Sigurnih pet,smišljeno novo
Kroz 3 drva,smišljeno novo
Biokovsko zvonce,smišljeno novo
Prišćica,smišljeno prema toponimu
Medvidina špilja,preuzeto kao lokalni naziv
Bezdanica,preuzeto kao lokalni naziv
Pećina pod Kuk,smišljeno prema toponimu
Gamboci,smišljeno prema toponimu
Grgina jama,preuzeto kao lokalni naziv
Kratke Gače,smišljeno novo
Špilja u kamenolomu Debeljača,preuzeto iz literature
Polića jama,preuzeto kao lokalni naziv
C.K.A.P.,smišljeno novo
Jama za dvije zamke,smišljeno novo
Blind date,smišljeno novo
Špilja kod auta,smišljeno novo
Kruglica,preuzeto kao lokalni naziv
Čekajući Tahija,smišljeno novo
Topolkova hiža 2,preuzeto kao lokalni naziv
Špilja pod Glogovcem,smišljeno prema toponimu
Ledenica u Tijesnom kod Vrata 2,smišljeno prema toponimu
Jama na Vrščiću,preuzeto iz literature
Sa mi je ža,smišljeno novo
Jama pod zavojem,smišljeno prema toponimu
Strguljin grad 4,smišljeno prema toponimu
Pećina kod Vrila,preuzeto kao lokalni naziv
Sumrak,smišljeno novo
Hajdučka jama,preuzeto kao lokalni naziv
Velika mačka,preuzeto kao lokalni naziv
Špilja s karte,smišljeno novo
Lidar 9,smišljeno novo
Bagulinovo jezero,preuzeto kao lokalni naziv
Belina jama,smišljeno novo
Jama u Pisanom dolcu,smišljeno prema toponimu
Jama Leopoldina,preuzeto kao lokalni naziv
Stražbenica,preuzeto iz literature
Pećina u Velim Sapcima,smišljeno prema toponimu
Jama na Mahencu 1,smišljeno prema toponimu
Beli tigar,smišljeno novo
Rom Pećina - Večernja jama,smišljeno novo
Jupi Jama,smišljeno novo
kaverna Anđeli 1,smišljeno prema toponimu
Cimuša,smišljeno novo
Jama na Črnikovici,smišljeno prema toponimu
Jama na Plase,smišljeno prema toponimu
Jama kraj Šipkovca,smišljeno prema toponimu
Jama kod Devići,preuzeto kao lokalni naziv
Dvojama,smišljeno novo
Dolašnica,preuzeto kao lokalni naziv
EFEM,smišljeno novo
Špilja iznad Gluhih draga,smišljeno prema toponimu
Špilja u Ceriku,nepoznato podrijetlo
Izvor Zvir,preuzeto kao lokalni naziv
Zverina,preuzeto kao lokalni naziv
Dupla jama nad Črmušinim dolom,smišljeno prema toponimu
Vilenuša,preuzeto kao lokalni naziv
Matešićeva pećina 1,preuzeto kao lokalni naziv
Laserska,smišljeno novo
Poskokova jama,smišljeno novo
Bliznice 2,preuzeto kao lokalni naziv
Jama pod Kaleškim čelom,smišljeno prema toponimu
Nesanica,smišljeno novo
Jama kod durexane,smišljeno novo
Mala špilja u Topoljskom buku I,smišljeno novo
Gordanova jama,smišljeno novo
Pometena Golubinka,smišljeno prema toponimu
Rajina jama,preuzeto kao lokalni naziv
Jama pod snijegom 2,smišljeno novo
Rudnica V,preuzeto iz literature
Jama SI od Varljena,preuzeto iz literature
Sovino pero,smišljeno novo
Špilja u uvali Pećina,smišljeno prema toponimu
Kaverna na Latešo brdu,smišljeno prema toponimu
Kriki,smišljeno novo
Punoglavac,smišljeno novo
Zlo će spavati ovdje,smišljeno novo
Jama kod Platka,smišljeno prema toponimu
Mrkobradog spilja,smišljeno prema toponimu
Grešna jama,smišljeno novo
Špilja kod Juraševe livade,preuzeto kao lokalni naziv
Krunićeva špilja,preuzeto kao lokalni naziv
Jama na Strane,preuzeto kao lokalni naziv
Smećica,smišljeno novo
Podkamennaja Tunguska,smišljeno novo
Strguljin grad 5,smišljeno prema toponimu
Jama na Stranama,smišljeno prema toponimu
Koktel ljubavi,smišljeno novo
Kičma,smišljeno novo
Jama špiljskog predatora,smišljeno novo
Jama u Pakovom selu,smišljeno prema toponimu
Suzina jama,smišljeno prema toponimu
Jama na Rastočinama,smišljeno prema toponimu
Crno vrelo,preuzeto iz literature
Zavrti,preuzeto kao lokalni naziv
Zlošilo,smišljeno novo
Franova jama,smišljeno novo
Čavkina jama,preuzeto kao lokalni naziv
Vjeko,smišljeno novo
Jama nad Klačenicom,smišljeno prema toponimu
Potkornjak mali,smišljeno novo
Poca,preuzeto kao lokalni naziv
Kolarica,preuzeto kao lokalni naziv
Jama Crekvica,smišljeno novo
Buljanov ponor,preuzeto sa karte
Banzek jama,smišljeno novo
Jama na Korani,smišljeno prema toponimu
Jamača,preuzeto sa karte
"SG 6,24",smišljeno prema toponimu
Golubinka kod Ruminskih vrtli,preuzeto kao lokalni naziv
Balerina,smišljeno novo
Žbelan,nepoznato podrijetlo
Špilja pod Velikom gredom,smišljeno prema toponimu
Vuco 4,smišljeno novo
Jadnica,preuzeto kao lokalni naziv
Martinina špilja,smišljeno novo
Izvor spilja ispod Jevtićevca,smišljeno prema toponimu
K1,smišljeno novo
Strguljin grad 13,smišljeno prema toponimu
Ponor u Stankovcima,smišljeno prema toponimu
Ponor Mulskog potoka,preuzeto kao lokalni naziv
Golubinka Mesopromet,preuzeto kao lokalni naziv
Mali vršić 2,smišljeno prema toponimu
Zmajeva peć,preuzeto kao lokalni naziv
Jama na putu,smišljeno novo
Jama pored špilje Jadnice,preuzeto kao lokalni naziv
Pećina Denisov meandar,smišljeno novo
Jama na Gradini,smišljeno prema toponimu
Kravska jama,preuzeto kao lokalni naziv
Kool vode brlog,smišljeno novo
Jama u vinogradima,preuzeto kao lokalni naziv
Lučica,preuzeto kao lokalni naziv
Brlog s podrškom,smišljeno novo
Pećina Mrzjak,smišljeno prema toponimu
Crna pećina,preuzeto kao lokalni naziv
Gola voda,smišljeno novo
Jama od Crnog,smišljeno novo
Jama u Rebićima,smišljeno prema toponimu
Sljepica jama,smišljeno novo
Jama u Lešće,smišljeno prema toponimu
Jama uz vatru,smišljeno novo
Kveha,smišljeno novo
Jama iznad Hrastovice,smišljeno prema toponimu
Svečićeva jama,preuzeto kao lokalni naziv
Koštana špilja,preuzeto kao lokalni naziv
Plava Grota,preuzeto kao lokalni naziv
Dračeva jama,preuzeto kao lokalni naziv
Sedma veličanstvena,smišljeno novo
Ivina bezdan,smišljeno novo
Muzejska jama,preuzeto kao lokalni naziv
Jama na Oštroj glavici,smišljeno prema toponimu
Duboki dokutsu,smišljeno novo
Špilja Ograda kod Pećatove ljuti,preuzeto kao lokalni naziv
Zatoglavska jama,smišljeno prema toponimu
Golubnjača u Alavanjama,smišljeno prema toponimu
Ledeni prsti,smišljeno novo
Ivankovača,preuzeto sa karte
Šumsko voće,smišljeno novo
Ventilatorka,smišljeno novo
Ponikve 2,smišljeno prema toponimu
Jama u Oćestovu,smišljeno novo
Radetina špilja,smišljeno prema toponimu
Mandina jama,preuzeto kao lokalni naziv
Jama Babinica,preuzeto kao lokalni naziv
Horvatova jama,smišljeno novo
Zlatna kopča,smišljeno novo
Vinica,smišljeno prema toponimu
Bodidan,smišljeno novo
Ciganska pećina,preuzeto sa karte
Bunar iza Rodina stana,smišljeno prema toponimu
Bojin,smišljeno prema toponimu
Traverza iznad Sastavaka,smišljeno novo
Partizanka,smišljeno novo
Stržna,preuzeto sa karte
Suha špilja u Handrakama,smišljeno prema toponimu
Afrodita kod Neptuna,smišljeno novo
Desna jama u Poljanku,smišljeno prema toponimu
Bučva,smišljeno prema toponimu
Škulja jama,smišljeno novo
Debeli krug,smišljeno prema toponimu
Jama na Učinovu,nepoznato podrijetlo
Jama Brestovac,smišljeno prema toponimu
Jezero,nepoznato podrijetlo
Jama bez vatre,smišljeno novo
Mala špilja kod crkve,smišljeno novo
Japagina 6,smišljeno prema toponimu
Jama u Progonu,smišljeno novo
Guduća II,smišljeno prema toponimu
Čatrnja,preuzeto kao lokalni naziv
Špilja od Litre,smišljeno novo
Prkno,smišljeno novo
Jama s otpadom,smišljeno novo
Miškopiš,smišljeno novo
Golubnjača na Ljubovu,preuzeto sa karte
Mala jama na Velikom bostanu,preuzeto sa karte
Izvor Kupe,preuzeto kao lokalni naziv
Jama na Kestenku,smišljeno prema toponimu
Pozzo Kršin,smišljeno prema toponimu
Jakusi,preuzeto kao lokalni naziv
Vještičja jama,smišljeno novo
Snižnica pred Dulibicom,smišljeno prema toponimu
Habibi Čići Mumu,smišljeno novo
Špilja pod Radučom,smišljeno prema toponimu
Igorovo brezno,smišljeno novo
Ponor Vele vode,smišljeno prema toponimu
Velika jama,preuzeto kao lokalni naziv
Jankonka,preuzeto kao lokalni naziv
Jama u Čušćici,preuzeto kao lokalni naziv
Jebeno duboka jama,smišljeno novo
Banova jaruga,smišljeno novo
Pod piramidom,smišljeno novo
Markova bezdanka,preuzeto iz literature
Pećinica 2,preuzeto iz literature
Golubnjača,preuzeto iz literature
Vučja jama,preuzeto kao lokalni naziv
Stari ponor Matice desni,smišljeno prema toponimu
Živa kopriva,smišljeno novo
Jama u Poljanku,preuzeto kao lokalni naziv
Jama u Repčovici,smišljeno prema toponimu
Jama Pan 2,smišljeno novo
Acronium,smišljeno novo
Jama u potrazi,smišljeno novo
Šarića pećine IV,smišljeno prema toponimu
Šira nego dublja,smišljeno novo
Jamina,preuzeto kao lokalni naziv
Jama u Vrloj strani,smišljeno prema toponimu
Senilna jama,smišljeno novo
Jama u Kladama,preuzeto kao lokalni naziv
Jelar ponor,preuzeto kao lokalni naziv
Špilja u kamenolomu Belaj,smišljeno prema toponimu
Jama na Rive,preuzeto kao lokalni naziv
Letigurtna,smišljeno novo
Špilja za Bajkovim brijegom,smišljeno prema toponimu
Kunina špilja,smišljeno novo
Voska špilja,smišljeno novo
Bužorova jama,preuzeto kao lokalni naziv
Razbijena kupaonica,smišljeno novo
Jama iznad Kugine kuće,preuzeto sa karte
Japaga,preuzeto kao lokalni naziv
Kopanija,preuzeto sa karte
Mala Mačkova špilja,preuzeto kao lokalni naziv
Disko Sarma,smišljeno novo
Ermitage,smišljeno novo
Bajićeva špilja 3,preuzeto kao lokalni naziv
Jejinska pećina,preuzeto kao lokalni naziv
Jama šatro sustav,smišljeno novo
Rana peć,preuzeto kao lokalni naziv
Vodena jama na Kukuljaru,preuzeto iz literature
Pašolinovica,smišljeno prema toponimu
Špilja kod Mržnjaka,preuzeto kao lokalni naziv
Jama u vrtači,smišljeno novo
Ambarac,preuzeto kao lokalni naziv
Golubinka 2,nepoznato podrijetlo
Špilja kod Gornjih Krnića,smišljeno prema toponimu
Krvoločni pusi,smišljeno novo
Medograd,smišljeno novo
NKVJ01,smišljeno novo
Kaverna A1,smišljeno novo
Duškova jama,preuzeto kao lokalni naziv
Jama na Valjala,preuzeto iz literature
Meina jama,smišljeno novo
Kaverna Rašeljka,smišljeno prema toponimu
Svrdlarska špilja,smišljeno novo
Kardar,smišljeno novo
Istah,smišljeno novo
Ekipaža,smišljeno novo
Magaretuša jama,preuzeto kao lokalni naziv
Svinjska peć,preuzeto kao lokalni naziv
Špilja pod Zimzelom,smišljeno prema toponimu
Mala Pupićina,preuzeto kao lokalni naziv
Špilja pod Krnjacolom,smišljeno prema toponimu
Bezdan,preuzeto kao lokalni naziv
Kozja soba,smišljeno novo
Bragocova jama,smišljeno novo
Kontakt most,smišljeno novo
Špilja sa cokljima,smišljeno novo
Rusovka,smišljeno prema toponimu
Jama u Kraljevu gaju,nepoznato podrijetlo
Jamodalo,preuzeto sa karte
Jama kod Poljane,smišljeno prema toponimu
MR2,smišljeno novo
Ivijeva jama,smišljeno novo
Jama pod pritiskom,smišljeno novo
Jama na Vetvi 2,smišljeno novo
Katedrala,preuzeto kao lokalni naziv
Ima dalje,smišljeno novo
Velika špilja,preuzeto kao lokalni naziv
Pasja jama,preuzeto kao lokalni naziv
Špilja u Biloj gredi,smišljeno prema toponimu
Špilja u Solinama,smišljeno prema toponimu
Špilja u uvali za dvoje_desna,preuzeto kao lokalni naziv
Jama Zelena Čarobnica,smišljeno novo
Jama kod Marić drage,smišljeno prema toponimu
Purđava graba,smišljeno novo
Šporkahed,smišljeno novo
Pećina u Brini zapadna,preuzeto iz literature
Sovina jama,smišljeno novo
Jama kod potoka Banine 5,smišljeno prema toponimu
Kunić vrelo,preuzeto sa karte
Klementina 3,smišljeno prema toponimu
Jama na Podima,smišljeno prema toponimu
Golubnjača kod Tatekovca,preuzeto kao lokalni naziv
Ponor Pepelarica,smišljeno prema toponimu
Jama kod Lukine jame br. 7A,smišljeno novo
Velika jama,preuzeto iz literature
Gaucho Knež,smišljeno novo
Špilja u Ladešić dragi,smišljeno prema toponimu
Jalova sili,smišljeno novo
Ledomat,smišljeno novo
Golubnjača na Gradini,preuzeto kao lokalni naziv
Ginko biloba,smišljeno novo
Nemesi,smišljeno novo
Jama Golubinka kod Barbana,smišljeno prema toponimu
Pećina Židna hižica 2,preuzeto kao lokalni naziv
Prva sportska klaonica,smišljeno novo
Jelenova špilja,smišljeno novo
Rovovska špilja,smišljeno novo
Vodotečina,preuzeto kao lokalni naziv
špilja do Jezerca,smišljeno novo
Izvor pećina Kašteljir,smišljeno prema toponimu
Skočina jama,preuzeto kao lokalni naziv
Gusarska špilja,preuzeto kao lokalni naziv
Žogijeva jama kod kave,smišljeno novo
Špiljica uz cestu,smišljeno novo
Špilja potok,preuzeto kao lokalni naziv
Škorak,preuzeto kao lokalni naziv
Adios,smišljeno novo
Grancina,preuzeto kao lokalni naziv
Mini me,smišljeno novo
Špilja u Privoru,preuzeto kao lokalni naziv
Jama naopačke,smišljeno novo
Tavica,smišljeno novo
Meandar,smišljeno novo
Špilja ispod Jankotovog,smišljeno prema toponimu
Dve žabe,smišljeno novo
Špilja u Žarkovcu,preuzeto kao lokalni naziv
Jama pod Radinkom,smišljeno prema toponimu
Trojama Vidasovke,smišljeno prema toponimu
Kornjačina,smišljeno novo
Špilja kod Orašačkog mola 1,smišljeno prema toponimu
Jama iznad Prodanova doca,smišljeno prema toponimu
Pećinica u vali Rupača,smišljeno prema toponimu
Stratište,smišljeno novo
Pogana jama,preuzeto kao lokalni naziv
Borovčeva jama u Postrani,preuzeto kao lokalni naziv
Deveterica,preuzeto kao lokalni naziv
Jama kod Kolića 2,smišljeno prema toponimu
Velika špilja,preuzeto kao lokalni naziv
Pasja jama pod Židovjem,smišljeno prema toponimu
Špageti,smišljeno novo
Jamar,preuzeto kao lokalni naziv
Ivulova jama,nepoznato podrijetlo
Špilja u kanjonu Kupe,smišljeno prema toponimu
Špilja nad Gradelinama,smišljeno prema toponimu
Jama u slojevima,smišljeno novo
Špilja u Dumanu,smišljeno prema toponimu
Valentića pećina,preuzeto kao lokalni naziv
Gradska spila,preuzeto kao lokalni naziv
Dundovka,smišljeno prema toponimu
Jamurina,preuzeto kao lokalni naziv
TDI,smišljeno novo
Drugi svjetski,smišljeno novo
Mala vjetrenica Debeli krug,smišljeno prema toponimu
Mala pećina u gredi,preuzeto kao lokalni naziv
Albanka,smišljeno novo
Bjelovrška spilja,smišljeno prema toponimu
Donja Barićeva špilja,preuzeto kao lokalni naziv
Pištolin golić 1,smišljeno prema toponimu
Zlatna jama,smišljeno novo
Volarščica,preuzeto kao lokalni naziv
Žani sine,smišljeno novo
Čavkina jama,smišljeno novo
Leminova pećina,preuzeto kao lokalni naziv
Jama pod križem 1,smišljeno novo
Jasenice 1,smišljeno novo
Špilja kod kamenoloma kraj Držaka,smišljeno prema toponimu
Špilja jedna kuna,smišljeno novo
Poreduša 4,smišljeno novo
Buzdovanka,preuzeto kao lokalni naziv
Jama Koće,smišljeno prema toponimu
San,smišljeno novo
Jama u Zajamju,smišljeno prema toponimu
Paredine 1,preuzeto kao lokalni naziv
Kletva,smišljeno novo
Volovska jama,preuzeto kao lokalni naziv
Jama bacim pogled,smišljeno novo
Uzaludna jama,smišljeno novo
Špilja ispod Griča u Badnju II,smišljeno prema toponimu
Krajnik,preuzeto kao lokalni naziv
Sniježnica u Biljevini,smišljeno prema toponimu
Dvije budale,smišljeno novo
Rakova špilja,preuzeto kao lokalni naziv
Jama kod suhog bora 2,smišljeno novo
Jama kod Dundović padeža,smišljeno prema toponimu
Jama pod Bilušin vrhom,smišljeno prema toponimu
Mahovnjača,smišljeno novo
Šarića pećine III,smišljeno prema toponimu
Jama u Pusovoj dragi,smišljeno prema toponimu
Ponor Bazuje 1,preuzeto kao lokalni naziv
Visi babina jama,smišljeno novo
Velika Plišivica,preuzeto kao lokalni naziv
Jama Ema,smišljeno novo
Hodak pećina,smišljeno novo
Etažna,smišljeno novo
Dubravska pećina,preuzeto kao lokalni naziv
Trokatnica,smišljeno novo
Bužasta škulja,preuzeto kao lokalni naziv
Špilja u Rebićima,smišljeno prema toponimu
Spajdermenka,smišljeno novo
Profundica,preuzeto kao lokalni naziv
Srednja jama nad zip lineom,smišljeno novo
Mustafka,smišljeno prema toponimu
Rupa kod Rupe,smišljeno prema toponimu
Tri-nula,smišljeno novo
Odisejeva špilja,smišljeno novo
Lavudova jama,preuzeto iz literature
Ponor Vinicio Potleca,smišljeno novo
Koranska desna špilja,smišljeno prema toponimu
Špilja kod sela Kremena,preuzeto sa karte
Javornik 1,smišljeno prema toponimu
Vrelo Ličanke,preuzeto kao lokalni naziv
Bubijeva jama u Srnjaku,smišljeno novo
Jama iznad ceste,smišljeno novo
